,batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
367,32,1500,elu,0.1,sgd,-0.25946868107265275
171,8,1500,relu,0.15,sgd,-0.2596135901147152
383,32,1500,softplus,0.05,sgd,-0.2596238578501535
255,16,1500,relu,0.2,sgd,-0.2596317862062373
319,16,1500,softplus,0.25,sgd,-0.2596792614497785
363,32,1500,elu,0.05,sgd,-0.259684420642739
295,16,1500,elu,0.2,sgd,-0.25976842010638673
247,16,1500,relu,0.1,sgd,-0.2597900639254615
315,16,1500,softplus,0.2,sgd,-0.25990774798069394
291,16,1500,elu,0.15,sgd,-0.25991294843143514
71,2,1500,softplus,0.15,sgd,-0.259986413865349
311,16,1500,softplus,0.15,sgd,-0.259990016574018
143,4,1500,softplus,0.05,sgd,-0.26000014124155746
259,16,1500,relu,0.25,sgd,-0.26006017953299604
335,32,1500,relu,0.2,sgd,-0.2602537229737012
331,32,1500,relu,0.15,sgd,-0.26030584969611276
327,32,1500,relu,0.1,sgd,-0.2604551784899372
21,2,1500,selu,0.05,adamax,-0.26046344349462747
75,2,1500,softplus,0.2,sgd,-0.2604737358788054
339,32,1500,relu,0.25,sgd,-0.26064341189770684
375,32,1500,elu,0.2,sgd,-0.26084106961646963
323,32,1500,relu,0.05,sgd,-0.26087219180171634
387,32,1500,softplus,0.1,sgd,-0.26134501580972536
203,8,1500,elu,0.05,sgd,-0.26135786089236457
251,16,1500,relu,0.15,sgd,-0.2613816842773639
79,2,1500,softplus,0.25,sgd,-0.26139385565793644
159,4,1500,softplus,0.25,sgd,-0.26159069719509154
167,8,1500,relu,0.1,sgd,-0.26208191593304897
231,8,1500,softplus,0.15,sgd,-0.26453027936206236
63,2,1500,softplus,0.05,sgd,-0.2656357504705865
44,2,1500,elu,0.1,adam,-0.2657683681655465
56,2,1500,elu,0.25,adam,-0.2700915333509084
12,2,1500,relu,0.2,adam,-0.27099776348679633
196,8,1500,selu,0.25,adam,-0.2739596632380843
164,8,1500,relu,0.1,adam,-0.27478568081451304
34,2,1500,selu,0.2,rmsprop,-0.27612361959155973
325,32,1500,relu,0.1,adamax,-0.27858539116754766
244,16,1500,relu,0.1,adam,-0.2797046246604132
118,4,1500,selu,0.25,rmsprop,-0.2860548351018518
336,32,1500,relu,0.25,adam,-0.2868681025268631
24,2,1500,selu,0.1,adam,-0.29697789079178116
10,2,1500,relu,0.15,rmsprop,-0.29849886366943107
20,2,1500,selu,0.05,adam,-0.298856852307535
28,2,1500,selu,0.15,adam,-0.3038005301954658
32,2,1500,selu,0.2,adam,-0.3038460549639174
328,32,1500,relu,0.15,adam,-0.3039417243286273
169,8,1500,relu,0.15,adamax,-0.30632287068347
332,32,1500,relu,0.2,adam,-0.309426726393665
104,4,1500,selu,0.1,adam,-0.3096743168322906
100,4,1500,selu,0.05,adam,-0.31519585348209667
256,16,1500,relu,0.25,adam,-0.319704066649972
242,16,1500,relu,0.05,rmsprop,-0.32322251061787344
112,4,1500,selu,0.2,adam,-0.32912901206810696
82,4,1500,relu,0.05,rmsprop,-0.3551100382816108
1,2,1500,relu,0.05,adamax,-0.3716169434649358
108,4,1500,selu,0.15,adam,-0.396135103418107
81,4,1500,relu,0.05,adamax,-0.41088804107327015
176,8,1500,relu,0.25,adam,-0.414996589388472
180,8,1500,selu,0.05,adam,-0.41696277073373716
321,32,1500,relu,0.05,adamax,-0.44217791839372034
26,2,1500,selu,0.1,rmsprop,-0.4866132405463646
80,4,1500,relu,0.05,adam,-0.5248197125101988
96,4,1500,relu,0.25,adam,-0.5555143233242029
248,16,1500,relu,0.15,adam,-0.5565208934217346
241,16,1500,relu,0.05,adamax,-0.5617774936611183
252,16,1500,relu,0.2,adam,-0.5894511795327406
161,8,1500,relu,0.05,adamax,-0.6256857314824913
162,8,1500,relu,0.05,rmsprop,-0.6405949583094886
48,2,1500,elu,0.15,adam,-0.6725957326225931
89,4,1500,relu,0.15,adamax,-0.6944387541205136
324,32,1500,relu,0.1,adam,-0.70324760530316
240,16,1500,relu,0.05,adam,-0.8881965433659162
160,8,1500,relu,0.05,adam,-1.1873395908125635
320,32,1500,relu,0.05,adam,-1.607007977493725
